smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCOC(=O)[C@@H]1C[C@H](N)[C@@H](O)[C@@H]1O	238796413	BFNHIMATPXBNSW-XZBKPIIZSA-N	189.211	-1.382	0	30	AAAC	
CN1C[C@H](N)CCS1(=O)=O	2265385798	WDNUKNGNJARQDU-RXMQYKEDSA-N	164.230	-1.021	0	30	AAAC	
N[C@H]1C=C[C@@H](O)[C@@H](O)[C@@H]1O	28470054	RAJLHDDMNNFKNT-SLPGGIOYSA-N	145.158	-2.034	0	30	AAAC	
CO[C@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O	5226959	HOVAGTYPODGVJG-BIVRFLNRSA-N	194.183	-2.567	0	30	AAAC	
C[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO	6037003	SKCKOFZKJLZSFA-JGWLITMVSA-N	166.173	-2.558	0	30	AAAC	
C[C@@H]1NC(=O)[C@H](CCCN)NC1=O	13531520	URHJBOMJGTXIAL-WDSKDSINSA-N	185.227	-1.272	0	30	AAAC	
OC[C@@H]1O[C@H](O)[C@@H](F)[C@@H](O)[C@@H]1O	11616575	ZCXUVYAZINUVJD-YJRYQGEOSA-N	182.147	-2.244	0	30	AAAC	in-vitro
C[C@@H](CN)NCCO	19367529	QLSQYTKEUVPIJA-YFKPBYRVSA-N	118.180	-1.085	0	30	AAAC	
O=CN[C@H]1NCCN[C@@H]1NC=O	39113835	IEXBMQJFGIRECA-PHDIDXHHSA-N	172.188	-2.677	0	30	AAAC	
COCNC(=O)NCO	5701198	DATBHDRXGLZCHA-UHFFFAOYSA-N	134.135	-1.161	0	30	AAAC	
N[C@@H]1OC[C@@H](O)[C@@H](O)[C@@H]1O	22061920	RQBSUMJKSOSGJJ-SQOUGZDYSA-N	149.146	-2.616	0	30	AAAC	
N=C(N)NC(=O)c1nccnc1N	33753639	GTOFYYPYNNNMLP-UHFFFAOYSA-N	180.171	-1.318	0	30	AAAC	
O=C1NC(=O)C(=O)[C@@H](O)N1	100071175	QDGZKCSFHGNRFP-UWTATZPHSA-N	144.086	-2.287	0	30	AAAC	
O[C@@H]1CO[C@@H](O)[C@@H](O)C1	14963005	ZTOHRSGVYZXRGQ-VAYJURFESA-N	134.131	-1.553	0	30	AAAC	
O=C1OC(=O)[C@@H]2[C@H]1[C@H]1O[C@H]2[C@@H]2O[C@@H]21	145421808	DEEDDGAXEIHTMA-SCCKRLBHSA-N	182.131	-1.149	0	30	AAAC	
CO[C@@H](CO)CN1CCNCC1	38949735	CIPQCVIPGZJCBL-MRVPVSSYSA-N	174.244	-1.101	0	30	AAAC	
CC(=O)N[C@@H]1C[C@H](CO)[C@@H](O)[C@@H]1O	17421721	KJFMWZCEHSQWQV-WCTZXXKLSA-N	189.211	-1.775	0	30	AAAC	
C[C@H](O)CNCCN1CCNCC1	19366458	IFJMAOCMMIEGBE-VIFPVBQESA-N	187.287	-1.138	0	30	AAAC	
CO[C@H](CO)CN1CCNCC1	38949733	CIPQCVIPGZJCBL-QMMMGPOBSA-N	174.244	-1.101	0	30	AAAC	
N[C@@H]1C(=O)N[C@H](C(=O)O)[C@H]1O	100284750	OTFLHMRYVVDFLY-ZPAAKOCQSA-N	160.129	-2.742	0	30	AAAC	
N[C@@H]1[C@@H](O)C[C@H]1O	2265385656	XRSPSLMIYRTMHA-KPIAHEAESA-N	103.121	-1.561	0	30	AAAC	
OC[C@H](O)COB(O)O	196203756	QFSNCROGCLRZHC-VKHMYHEASA-N	135.912	-2.674	0	30	AAAC	
